DEPARTMENT | OVERDUE
NS Neighborhood Services | -170.36
SWM Solid Waste Management | -3.33
PWE Public Works Engineering | -14.60
PWE Public Works Engineering | -19.60
PWE Public Works Engineering | -13.40
NS Neighborhood Services | -19.27
PWE Public Works Engineering | -5.40
PWE Public Works Engineering | -19.64
SWM Solid Waste Management | -3.62
PWE Public Works Engineering | -13.67
SWM Solid Waste Management | -6.41
PWE Public Works Engineering | -13.48
PWE Public Works Engineering | -17.97
PWE Public Works Engineering | -3.00
SWM Solid Waste Management | -6.46
NS Neighborhood Services | -180.00
NS Neighborhood Services | -163.01
PWE Public Works Engineering | -8.55
PWE Public Works Engineering | 2.98
PWE Public Works Engineering | -8.63
PWE Public Works Engineering | -20.48
PWE Public Works Engineering | -20.45
SWM Solid Waste Management | -3.48
PWE Public Works Engineering | -43.03
PR Parks and Recreation | -163.04
SWM Solid Waste Management | -7.50
PWE Public Works Engineering | 0.81
SWM Solid Waste Management | -6.67
SWM Solid Waste Management | -0.48
PWE Public Works Engineering | -12.67
PWE Public Works Engineering | -5.48
NS Neighborhood Services | -171.56
PWE Public Works Engineering | -29.76
SWM Solid Waste Management | -17.86
HLT Health | -43.14
NS Neighborhood Services | -163.15
PWE Public Works Engineering | -1.81
SWM Solid Waste Management | -9.88
PWE Public Works Engineering | -29.50
SWM Solid Waste Management | -2.74
Finance | -73.17
PWE Public Works Engineering | -28.98
Finance | -73.17
PWE Public Works Engineering | -6.73
PWE Public Works Engineering | -10.70
PM Parking Management | -13.56
PWE Public Works Engineering | -27.86
SWM Solid Waste Management | -6.83
SWM Solid Waste Management | -2.69
PWE Public Works Engineering | -29.88
PWE Public Works Engineering | -180.00
PWE Public Works Engineering | -22.94
PWE Public Works Engineering | -12.63
PWE Public Works Engineering | -4.96
PWE Public Works Engineering | -28.97
PWE Public Works Engineering | -43.20
PWE Public Works Engineering | -23.95
PWE Public Works Engineering | -33.69
PWE Public Works Engineering | -7.82
PWE Public Works Engineering | -14.82
PWE Public Works Engineering | -16.93
PWE Public Works Engineering | -1.83
SWM Solid Waste Management | -3.57
PWE Public Works Engineering | -0.95
PWE Public Works Engineering | -34.86
PWE Public Works Engineering | -29.86
